Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-15 00:00:00+05:30,23368.349609375,23368.349609375,23207.0,23328.55078125,388300,0.0,0.0
2025-04-16 00:00:00+05:30,23344.099609375,23452.19921875,23273.05078125,23437.19921875,348400,0.0,0.0
2025-04-17 00:00:00+05:30,23401.849609375,23872.349609375,23298.55078125,23851.650390625,505300,0.0,0.0
2025-04-21 00:00:00+05:30,23949.150390625,24189.55078125,23903.650390625,24125.55078125,406100,0.0,0.0
2025-04-22 00:00:00+05:30,24185.400390625,24242.599609375,24072.0,24167.25,440900,0.0,0.0
2025-04-23 00:00:00+05:30,24357.599609375,24359.30078125,24119.94921875,24328.94921875,415000,0.0,0.0
2025-04-24 00:00:00+05:30,24277.900390625,24347.849609375,24216.150390625,24246.69921875,358800,0.0,0.0
2025-04-25 00:00:00+05:30,24289.0,24365.44921875,23847.849609375,24039.349609375,387700,0.0,0.0
2025-04-28 00:00:00+05:30,24070.25,24355.099609375,24054.05078125,24328.5,320500,0.0,0.0
2025-04-29 00:00:00+05:30,24370.69921875,24457.650390625,24290.75,24335.94921875,357600,0.0,0.0
2025-04-30 00:00:00+05:30,24342.05078125,24396.150390625,24198.75,24334.19921875,424500,0.0,0.0
2025-05-02 00:00:00+05:30,24311.900390625,24589.150390625,24238.5,24346.69921875,421100,0.0,0.0
2025-05-05 00:00:00+05:30,24419.5,24526.400390625,24400.650390625,24461.150390625,291500,0.0,0.0
2025-05-06 00:00:00+05:30,24500.75,24509.650390625,24331.80078125,24379.599609375,302400,0.0,0.0
2025-05-07 00:00:00+05:30,24233.30078125,24449.599609375,24220.0,24414.400390625,330100,0.0,0.0
2025-05-08 00:00:00+05:30,24431.5,24447.25,24150.19921875,24273.80078125,411400,0.0,0.0
2025-05-09 00:00:00+05:30,23935.75,24164.25,23935.75,24008.0,335600,0.0,0.0
2025-05-12 00:00:00+05:30,24420.099609375,24944.80078125,24378.849609375,24924.69921875,0,0.0,0.0
